Age,Address,Marital status of household head,Household head kind of business (if business is the source of income),Educational Attainment of the household head,Household head occupation,Household head spouse is employed (y/n),Household type,Spend for Laundry Services (y/n),Pay Tuition fees in cash,"Receive cash receipts, assistance from abroad (y/n)",Household owned motorcycles (y/n),Household owned car (y/n),Spend for maid/boy services (y/n),Household Means in Cooking,Number of own APPLIANCES,Number of phones/gadgets owned,Household House Structure type,Have a sala sets (y/n),Household have toilet facility (y/n),Household have main source of water (y/n),Prediction
33,"P3 Kammungay,Barangay Maon",Widower,Sari-sari Store/Peso Net,High School Graduate,Part time Technician,Yes,Normal,Yes,"10,000 - 22,000",Yes,Yes,Yes,No,FIREWOOD,5,1-2,Metal Roof & Half Concrete,No,Yes,Yes,poor
55,"P3 Kammungay,Barangay Maon",Widower,Vaind Seller,College Graduate,Senior Citizen,No,Extended,Yes,"23,000 - 43,000",No,Yes,Yes,No,FIREWOOD,1-2,1-2,Metal Roof & Full Concrete,No,No,No,average
23,"P2 Camote,Barangay Maon",Married,Vaind Seller,College Graduate,Company Driver,Yes,Extended,Yes,"50,000 - UP",Yes,No,Yes,Yes,FIREWOOD,5,1-2,Metal Roof & Amakan,Yes,No,Yes,rich
46,"P3 Kammungay,Barangay Maon",Widower,None,High School Graduate,Part time Technician,No,Normal,No,"44,000 - 75,000",Yes,No,Yes,No,LPG,3,3-4,Nipa & Wood,No,Yes,Yes,above average
50,"P3 Kammungay,Barangay Maon",Single,Sari-sari Store/Peso Net,Elementary Graduate,Barangay Councilor,No,Extended,Yes,"10,000 and below",Yes,Yes,No,Yes,LPG,3,5 - up,Metal Roof & Full Concrete,Yes,Yes,No,very poor
25,"P2 Camote,Barangay Maon",Married,None,College Graduate,Tricycle Driver,No,Normal,Yes,"10,000 and below",No,No,Yes,No,FIREWOOD,1-2,1-2,Metal Roof & Amakan,No,No,Yes,very poor
63,"P2 Camote,Barangay Maon",Single,Sari-sari Store/Peso Net,High School Graduate,Glass Installer,No,Normal,No,"23,000 - 43,000",Yes,Yes,Yes,No,FIREWOOD,5,3-4,Nipa & Wood,No,No,No,average
51,"P1 Cassava,Barangay Maon",Married,Vaind Seller,College Graduate,Part time Technician,Yes,Extended,Yes,"23,000 - 43,000",No,No,Yes,Yes,LPG,6,5 - up,Metal Roof & Half Concrete,Yes,Yes,Yes,average
63,"P1 Cassava,Barangay Maon",Widower,Sari-sari Store/Peso Net,Elementary Graduate,Businness Onwer,Yes,Normal,No,"10,000 - 22,000",Yes,No,No,Yes,LPG,5,3-4,Metal Roof & Amakan,Yes,Yes,No,poor
21,"P3 Kammungay,Barangay Maon",Widower,None,High School Graduate,Businness Onwer,No,Normal,No,"76,000-131,000",Yes,No,Yes,Yes,FIREWOOD,6,1-2,Metal Roof & Hardiflex,No,No,Yes,rich
56,"P2 Camote,Barangay Maon",Single,Drygoods Retail/ Natasha,College Graduate,Orgon Worker,Yes,Normal,No,"44,000 - 75,000",Yes,No,Yes,Yes,LPG,3,3-4,Metal Roof & Hardiflex,Yes,No,Yes,above average
49,"P1 Cassava,Barangay Maon",Single,Sari-sari Store/Peso Net,High School Graduate,Tricycle Driver,No,Extended,No,"50,000 - UP",Yes,No,Yes,No,FIREWOOD,1-2,5 - up,Metal Roof & Hardiflex,Yes,No,Yes,rich
64,"P5 Ube,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,Sideline,Yes,Normal,Yes,"10,000 - 22,000",Yes,No,Yes,No,FIREWOOD,3,3-4,Nipa & Wood,Yes,Yes,Yes,poor
55,"P5 Ube,Barangay Maon",Single,Drygoods Retail/ Natasha,High School Graduate,Part time Technician,Yes,Normal,Yes,"76,000-131,000",No,No,Yes,Yes,LPG,5,5 - up,Metal Roof & Amakan,Yes,No,No,rich
21,"P2 Camote,Barangay Maon",Widower,Sari-sari Store/Peso Net,College Graduate,Company Driver,No,Normal,No,"50,000 - UP",No,Yes,Yes,Yes,LPG,1-2,3-4,Metal Roof & Hardiflex,No,No,Yes,rich
21,"P5 Ube,Barangay Maon",Married,Vaind Seller,High School Graduate,Orgon Worker,No,Extended,Yes,"50,000 - UP",No,Yes,No,Yes,LPG,3,5 - up,Nipa & Wood,Yes,Yes,No,rich
32,"P1 Cassava,Barangay Maon",Widower,Sari-sari Store/Peso Net,Elementary Graduate,Tatoo Artist,No,Extended,No,"44,000 - 75,000",Yes,Yes,No,Yes,FIREWOOD,1-2,5 - up,Nipa & Wood,No,Yes,No,above average
48,"P5 Ube,Barangay Maon",Single,Drygoods Retail/ Natasha,High School Graduate,Businness Onwer,Yes,Extended,No,"10,000 - 22,000",Yes,No,Yes,No,FIREWOOD,6,1-2,Metal Roof & Half Concrete,No,No,No,poor
47,"P1 Cassava,Barangay Maon",Single,Sari-sari Store/Peso Net,High School Graduate,Barangay Councilor,Yes,Normal,No,"44,000 - 75,000",No,No,No,No,FIREWOOD,3,1-2,Metal Roof & Amakan,Yes,No,No,above average
45,"P2 Camote,Barangay Maon",Married,None,Elementary Graduate,Company Driver,Yes,Normal,No,"44,000 - 75,000",No,Yes,No,No,LPG,5,1-2,Metal Roof & Amakan,No,No,No,above average
37,"P3 Kammungay,Barangay Maon",Widower,Vaind Seller,College Graduate,Tricycle Driver,No,Normal,Yes,"44,000 - 75,000",Yes,No,Yes,No,FIREWOOD,3,5 - up,Metal Roof & Full Concrete,No,Yes,Yes,above average
23,"P5 Ube,Barangay Maon",Widower,Sari-sari Store/Peso Net,High School Graduate,None,Yes,Extended,Yes,"44,000 - 75,000",No,Yes,No,No,LPG,6,5 - up,Metal Roof & Half Concrete,Yes,Yes,No,above average
61,"P1 Cassava,Barangay Maon",Married,Sari-sari Store/Peso Net,Elementary Graduate,Coordinator,Yes,Normal,No,"10,000 - 22,000",No,Yes,No,No,LPG,1-2,1-2,Metal Roof & Full Concrete,No,Yes,No,poor
33,"P2 Camote,Barangay Maon",Single,Drygoods Retail/ Natasha,College Graduate,Senior Citizen,No,Extended,No,"23,000 - 43,000",Yes,Yes,Yes,No,LPG,6,3-4,Metal Roof & Half Concrete,Yes,Yes,Yes,average
55,"P3 Kammungay,Barangay Maon",Single,Drygoods Retail/ Natasha,High School Graduate,Tatoo Artist,Yes,Extended,Yes,"10,000 - 22,000",No,No,No,No,LPG,1-2,1-2,Metal Roof & Amakan,No,Yes,No,poor
24,"P1 Cassava,Barangay Maon",Widower,Vaind Seller,High School Graduate,Glass Installer,No,Extended,Yes,"44,000 - 75,000",No,Yes,Yes,Yes,FIREWOOD,1-2,5 - up,Metal Roof & Half Concrete,No,No,Yes,above average
64,"P2 Camote,Barangay Maon",Married,Drygoods Retail/ Natasha,Elementary Graduate,Engineer,No,Extended,No,"50,000 - UP",Yes,Yes,Yes,No,FIREWOOD,5,3-4,Metal Roof & Half Concrete,No,No,Yes,rich
36,"P3 Kammungay,Barangay Maon",Single,Sari-sari Store/Peso Net,College Graduate,Orgon Worker,No,Extended,Yes,"10,000 and below",No,No,Yes,No,FIREWOOD,6,5 - up,Metal Roof & Hardiflex,No,Yes,Yes,very poor
55,"P5 Ube,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,Coordinator,Yes,Normal,Yes,"76,000-131,000",Yes,Yes,No,No,FIREWOOD,3,3-4,Metal Roof & Full Concrete,No,No,Yes,rich
64,"P3 Kammungay,Barangay Maon",Married,Sari-sari Store/Peso Net,Elementary Graduate,Orgon Worker,No,Normal,No,"44,000 - 75,000",No,No,Yes,No,LPG,1-2,3-4,Metal Roof & Full Concrete,No,No,Yes,above average
63,"P1 Cassava,Barangay Maon",Widower,Drygoods Retail/ Natasha,High School Graduate,Glass Installer,Yes,Normal,No,"10,000 - 22,000",Yes,No,Yes,Yes,FIREWOOD,1-2,1-2,Nipa & Wood,Yes,Yes,No,poor
35,"P3 Kammungay,Barangay Maon",Married,None,High School Graduate,Sideline,Yes,Normal,No,"23,000 - 43,000",No,Yes,Yes,Yes,LPG,5,3-4,Metal Roof & Half Concrete,Yes,Yes,Yes,average
29,"P5 Ube,Barangay Maon",Widower,Sari-sari Store/Peso Net,Elementary Graduate,Coordinator,Yes,Extended,No,"44,000 - 75,000",Yes,Yes,Yes,No,LPG,6,3-4,Metal Roof & Full Concrete,Yes,Yes,No,above average
30,"P2 Camote,Barangay Maon",Widower,Sari-sari Store/Peso Net,College Graduate,Tricycle Driver,Yes,Extended,No,"10,000 - 22,000",Yes,No,No,No,FIREWOOD,1-2,1-2,Metal Roof & Amakan,Yes,Yes,Yes,poor
59,"P2 Camote,Barangay Maon",Single,Drygoods Retail/ Natasha,Elementary Graduate,Company Driver,No,Extended,No,"76,000-131,000",Yes,Yes,No,Yes,FIREWOOD,3,5 - up,Metal Roof & Hardiflex,No,Yes,No,rich
36,"P5 Ube,Barangay Maon",Married,Drygoods Retail/ Natasha,College Graduate,Tatoo Artist,No,Extended,Yes,"10,000 - 22,000",Yes,Yes,No,No,LPG,3,3-4,Metal Roof & Amakan,No,No,Yes,poor
44,"P3 Kammungay,Barangay Maon",Married,Vaind Seller,College Graduate,Coordinator,Yes,Extended,Yes,"50,000 - UP",Yes,Yes,Yes,Yes,FIREWOOD,1-2,3-4,Metal Roof & Full Concrete,No,No,No,rich
57,"P1 Cassava,Barangay Maon",Single,Sari-sari Store/Peso Net,Elementary Graduate,None,Yes,Normal,No,"50,000 - UP",Yes,Yes,Yes,Yes,LPG,5,3-4,Metal Roof & Hardiflex,No,No,No,rich
38,"P2 Camote,Barangay Maon",Married,Vaind Seller,High School Graduate,Tricycle Driver,No,Extended,Yes,"50,000 - UP",No,No,No,No,FIREWOOD,5,3-4,Nipa & Wood,No,Yes,Yes,rich
38,"P2 Camote,Barangay Maon",Widower,None,College Graduate,None,No,Normal,No,"10,000 - 22,000",No,No,No,Yes,LPG,1-2,5 - up,Nipa & Wood,No,No,Yes,poor
49,"P2 Camote,Barangay Maon",Single,Drygoods Retail/ Natasha,High School Graduate,Orgon Worker,Yes,Extended,No,"23,000 - 43,000",Yes,Yes,Yes,No,FIREWOOD,3,5 - up,Metal Roof & Hardiflex,No,Yes,Yes,average
48,"P2 Camote,Barangay Maon",Widower,Vaind Seller,High School Graduate,Barangay Councilor,Yes,Extended,Yes,"50,000 - UP",No,No,No,No,LPG,6,1-2,Metal Roof & Hardiflex,No,Yes,Yes,rich
39,"P3 Kammungay,Barangay Maon",Married,Sari-sari Store/Peso Net,High School Graduate,Businness Onwer,Yes,Normal,Yes,"76,000-131,000",No,Yes,No,No,LPG,6,3-4,Metal Roof & Hardiflex,No,No,Yes,rich
22,"P1 Cassava,Barangay Maon",Single,Vaind Seller,Elementary Graduate,Orgon Worker,No,Extended,No,"23,000 - 43,000",Yes,No,Yes,No,FIREWOOD,5,5 - up,Metal Roof & Half Concrete,Yes,Yes,Yes,average
43,"P1 Cassava,Barangay Maon",Single,Vaind Seller,College Graduate,Tatoo Artist,Yes,Extended,Yes,"50,000 - UP",No,Yes,No,No,LPG,3,3-4,Metal Roof & Hardiflex,No,No,No,rich
35,"P2 Camote,Barangay Maon",Single,Drygoods Retail/ Natasha,Elementary Graduate,Part time Technician,No,Normal,Yes,"50,000 - UP",Yes,Yes,Yes,Yes,FIREWOOD,1-2,5 - up,Metal Roof & Hardiflex,Yes,Yes,No,rich
29,"P1 Cassava,Barangay Maon",Widower,Sari-sari Store/Peso Net,College Graduate,Engineer,No,Normal,Yes,"76,000-131,000",No,Yes,Yes,No,LPG,5,5 - up,Metal Roof & Amakan,Yes,No,Yes,rich
67,"P5 Ube,Barangay Maon",Widower,Vaind Seller,College Graduate,Orgon Worker,No,Normal,No,"76,000-131,000",No,Yes,Yes,No,LPG,3,5 - up,Metal Roof & Amakan,No,No,Yes,rich
52,"P1 Cassava,Barangay Maon",Widower,None,High School Graduate,Glass Installer,Yes,Normal,Yes,"44,000 - 75,000",Yes,No,Yes,Yes,FIREWOOD,3,5 - up,Metal Roof & Hardiflex,Yes,Yes,No,above average
38,"P3 Kammungay,Barangay Maon",Widower,Drygoods Retail/ Natasha,College Graduate,Sideline,No,Normal,No,"76,000-131,000",Yes,Yes,No,Yes,LPG,6,5 - up,Metal Roof & Half Concrete,No,No,Yes,rich
24,"P2 Camote,Barangay Maon",Married,Vaind Seller,Elementary Graduate,Businness Onwer,Yes,Extended,No,"50,000 - UP",No,Yes,No,Yes,LPG,5,5 - up,Metal Roof & Full Concrete,No,Yes,No,rich
67,"P3 Kammungay,Barangay Maon",Single,Vaind Seller,Elementary Graduate,Businness Onwer,Yes,Normal,Yes,"23,000 - 43,000",Yes,No,Yes,Yes,LPG,6,3-4,Metal Roof & Amakan,Yes,No,Yes,average
42,"P1 Cassava,Barangay Maon",Single,Drygoods Retail/ Natasha,Elementary Graduate,Company Driver,No,Extended,Yes,"10,000 and below",No,No,Yes,Yes,LPG,1-2,5 - up,Nipa & Wood,No,No,Yes,very poor
34,"P3 Kammungay,Barangay Maon",Single,Sari-sari Store/Peso Net,High School Graduate,Barangay Councilor,No,Normal,No,"23,000 - 43,000",Yes,No,No,Yes,FIREWOOD,3,1-2,Metal Roof & Full Concrete,Yes,Yes,No,average
44,"P5 Ube,Barangay Maon",Single,Drygoods Retail/ Natasha,College Graduate,Sideline,Yes,Normal,No,"10,000 and below",Yes,Yes,Yes,No,LPG,6,3-4,Metal Roof & Half Concrete,No,Yes,No,very poor
66,"P5 Ube,Barangay Maon",Widower,Vaind Seller,Elementary Graduate,Coordinator,No,Extended,No,"10,000 - 22,000",No,Yes,Yes,Yes,FIREWOOD,6,5 - up,Nipa & Wood,Yes,No,No,poor
51,"P3 Kammungay,Barangay Maon",Single,Sari-sari Store/Peso Net,College Graduate,Glass Installer,Yes,Normal,Yes,"23,000 - 43,000",No,No,No,No,FIREWOOD,6,3-4,Metal Roof & Amakan,No,Yes,Yes,average
54,"P5 Ube,Barangay Maon",Married,Drygoods Retail/ Natasha,Elementary Graduate,None,Yes,Extended,No,"50,000 - UP",No,No,No,No,LPG,3,1-2,Metal Roof & Amakan,No,No,Yes,rich
42,"P2 Camote,Barangay Maon",Widower,Drygoods Retail/ Natasha,High School Graduate,Tatoo Artist,No,Normal,No,"10,000 and below",No,No,No,No,LPG,6,1-2,Metal Roof & Amakan,Yes,No,Yes,very poor
64,"P1 Cassava,Barangay Maon",Married,None,College Graduate,Part time Technician,Yes,Normal,Yes,"76,000-131,000",No,Yes,No,No,LPG,3,5 - up,Nipa & Wood,Yes,Yes,Yes,rich
21,"P3 Kammungay,Barangay Maon",Married,Vaind Seller,College Graduate,Part time Technician,No,Extended,No,"50,000 - UP",No,Yes,No,No,FIREWOOD,6,5 - up,Nipa & Wood,Yes,Yes,No,rich
38,"P5 Ube,Barangay Maon",Widower,Vaind Seller,High School Graduate,Businness Onwer,Yes,Normal,No,"44,000 - 75,000",Yes,Yes,Yes,No,FIREWOOD,1-2,5 - up,Nipa & Wood,No,No,Yes,above average
30,"P2 Camote,Barangay Maon",Single,Vaind Seller,High School Graduate,Senior Citizen,No,Normal,No,"44,000 - 75,000",Yes,Yes,No,No,LPG,6,3-4,Metal Roof & Hardiflex,No,No,No,above average
28,"P3 Kammungay,Barangay Maon",Single,Vaind Seller,High School Graduate,None,No,Normal,No,"44,000 - 75,000",No,Yes,Yes,No,LPG,5,3-4,Nipa & Wood,Yes,Yes,No,above average
41,"P2 Camote,Barangay Maon",Widower,Drygoods Retail/ Natasha,High School Graduate,Orgon Worker,No,Extended,Yes,"10,000 - 22,000",No,Yes,Yes,No,LPG,3,3-4,Metal Roof & Half Concrete,Yes,Yes,Yes,poor
53,"P1 Cassava,Barangay Maon",Widower,Vaind Seller,High School Graduate,Tricycle Driver,Yes,Extended,No,"10,000 and below",No,Yes,No,No,LPG,6,3-4,Nipa & Wood,Yes,Yes,No,very poor
61,"P1 Cassava,Barangay Maon",Married,Drygoods Retail/ Natasha,High School Graduate,Senior Citizen,No,Extended,Yes,"10,000 and below",No,No,Yes,No,FIREWOOD,3,5 - up,Metal Roof & Half Concrete,No,No,Yes,very poor
66,"P5 Ube,Barangay Maon",Single,Sari-sari Store/Peso Net,Elementary Graduate,Businness Onwer,No,Extended,No,"23,000 - 43,000",Yes,Yes,No,No,LPG,3,3-4,Nipa & Wood,Yes,Yes,No,average
41,"P5 Ube,Barangay Maon",Married,Vaind Seller,High School Graduate,Company Driver,Yes,Normal,No,"44,000 - 75,000",Yes,Yes,No,No,LPG,5,1-2,Metal Roof & Amakan,No,Yes,Yes,above average
40,"P1 Cassava,Barangay Maon",Widower,Sari-sari Store/Peso Net,Elementary Graduate,None,No,Normal,Yes,"76,000-131,000",Yes,No,No,No,FIREWOOD,5,5 - up,Metal Roof & Full Concrete,Yes,No,No,rich
54,"P1 Cassava,Barangay Maon",Married,Drygoods Retail/ Natasha,Elementary Graduate,Businness Onwer,Yes,Extended,No,"44,000 - 75,000",No,No,No,Yes,FIREWOOD,3,1-2,Metal Roof & Hardiflex,Yes,Yes,No,above average
44,"P5 Ube,Barangay Maon",Single,Vaind Seller,College Graduate,Engineer,Yes,Extended,No,"50,000 - UP",No,Yes,Yes,Yes,FIREWOOD,6,1-2,Metal Roof & Half Concrete,No,Yes,No,rich
55,"P3 Kammungay,Barangay Maon",Single,Sari-sari Store/Peso Net,Elementary Graduate,Glass Installer,No,Normal,No,"23,000 - 43,000",No,Yes,Yes,Yes,LPG,6,5 - up,Metal Roof & Full Concrete,Yes,Yes,No,average
45,"P5 Ube,Barangay Maon",Single,None,High School Graduate,Coordinator,No,Normal,Yes,"50,000 - UP",No,No,No,No,FIREWOOD,3,3-4,Nipa & Wood,No,Yes,Yes,rich
45,"P5 Ube,Barangay Maon",Widower,Drygoods Retail/ Natasha,College Graduate,Coordinator,No,Normal,No,"23,000 - 43,000",Yes,No,Yes,No,FIREWOOD,5,5 - up,Metal Roof & Full Concrete,Yes,No,Yes,average
62,"P5 Ube,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,Tricycle Driver,Yes,Normal,Yes,"44,000 - 75,000",Yes,No,No,Yes,FIREWOOD,3,1-2,Metal Roof & Full Concrete,No,Yes,No,above average
25,"P5 Ube,Barangay Maon",Married,None,Elementary Graduate,Engineer,No,Extended,Yes,"10,000 - 22,000",Yes,Yes,Yes,No,LPG,5,5 - up,Metal Roof & Half Concrete,Yes,No,No,poor
61,"P2 Camote,Barangay Maon",Single,None,Elementary Graduate,Tricycle Driver,No,Normal,No,"76,000-131,000",No,No,Yes,No,LPG,3,1-2,Metal Roof & Half Concrete,No,Yes,No,rich
58,"P1 Cassava,Barangay Maon",Married,None,Elementary Graduate,None,No,Extended,Yes,"50,000 - UP",No,No,No,No,LPG,3,3-4,Metal Roof & Hardiflex,No,Yes,Yes,rich
34,"P1 Cassava,Barangay Maon",Married,Sari-sari Store/Peso Net,College Graduate,Barangay Councilor,No,Extended,Yes,"10,000 and below",Yes,Yes,No,No,FIREWOOD,5,3-4,Nipa & Wood,Yes,No,Yes,very poor
26,"P3 Kammungay,Barangay Maon",Widower,Vaind Seller,College Graduate,Part time Technician,Yes,Extended,Yes,"50,000 - UP",No,Yes,Yes,No,LPG,5,1-2,Metal Roof & Full Concrete,No,Yes,Yes,rich
40,"P2 Camote,Barangay Maon",Married,None,College Graduate,Tricycle Driver,No,Extended,No,"10,000 and below",No,No,Yes,No,LPG,3,5 - up,Nipa & Wood,No,No,No,very poor
21,"P5 Ube,Barangay Maon",Married,Sari-sari Store/Peso Net,Elementary Graduate,Coordinator,Yes,Extended,Yes,"50,000 - UP",No,Yes,Yes,Yes,FIREWOOD,3,1-2,Nipa & Wood,Yes,No,No,rich
45,"P3 Kammungay,Barangay Maon",Widower,Drygoods Retail/ Natasha,High School Graduate,Part time Technician,Yes,Extended,No,"50,000 - UP",No,Yes,No,Yes,FIREWOOD,1-2,5 - up,Metal Roof & Hardiflex,No,Yes,Yes,rich
47,"P1 Cassava,Barangay Maon",Widower,Vaind Seller,High School Graduate,Company Driver,Yes,Normal,No,"10,000 - 22,000",No,No,No,No,FIREWOOD,3,1-2,Nipa & Wood,No,Yes,No,poor
50,"P2 Camote,Barangay Maon",Single,Vaind Seller,College Graduate,Tatoo Artist,Yes,Normal,No,"76,000-131,000",No,Yes,Yes,Yes,LPG,3,1-2,Nipa & Wood,No,No,Yes,rich
21,"P2 Camote,Barangay Maon",Single,Sari-sari Store/Peso Net,College Graduate,Senior Citizen,Yes,Normal,Yes,"76,000-131,000",No,Yes,No,Yes,LPG,3,3-4,Metal Roof & Full Concrete,No,No,Yes,rich
61,"P3 Kammungay,Barangay Maon",Widower,None,College Graduate,Coordinator,No,Extended,Yes,"10,000 and below",Yes,No,No,Yes,LPG,6,5 - up,Metal Roof & Half Concrete,No,No,No,very poor
58,"P2 Camote,Barangay Maon",Single,None,Elementary Graduate,Glass Installer,No,Extended,No,"10,000 and below",No,No,No,No,FIREWOOD,6,5 - up,Nipa & Wood,No,Yes,No,very poor
52,"P5 Ube,Barangay Maon",Married,Vaind Seller,College Graduate,Sideline,No,Normal,No,"23,000 - 43,000",Yes,Yes,No,Yes,LPG,1-2,3-4,Metal Roof & Full Concrete,Yes,Yes,Yes,average
69,"P3 Kammungay,Barangay Maon",Widower,Drygoods Retail/ Natasha,High School Graduate,None,Yes,Extended,Yes,"10,000 and below",Yes,No,Yes,No,LPG,5,3-4,Metal Roof & Amakan,No,Yes,Yes,very poor
21,"P3 Kammungay,Barangay Maon",Single,None,Elementary Graduate,Sideline,Yes,Normal,No,"23,000 - 43,000",Yes,Yes,No,Yes,LPG,3,1-2,Metal Roof & Amakan,Yes,No,No,average
69,"P5 Ube,Barangay Maon",Single,Vaind Seller,High School Graduate,Tricycle Driver,No,Extended,Yes,"76,000-131,000",Yes,No,No,Yes,LPG,3,5 - up,Metal Roof & Full Concrete,No,No,No,rich
66,"P3 Kammungay,Barangay Maon",Single,Vaind Seller,College Graduate,Engineer,No,Extended,Yes,"44,000 - 75,000",Yes,Yes,Yes,No,LPG,3,5 - up,Nipa & Wood,Yes,No,Yes,above average
35,"P5 Ube,Barangay Maon",Single,None,High School Graduate,Tricycle Driver,No,Normal,No,"23,000 - 43,000",No,No,No,No,LPG,1-2,1-2,Metal Roof & Hardiflex,No,No,No,average
64,"P1 Cassava,Barangay Maon",Married,Sari-sari Store/Peso Net,High School Graduate,Part time Technician,Yes,Normal,No,"10,000 - 22,000",Yes,No,Yes,Yes,LPG,5,5 - up,Metal Roof & Half Concrete,No,No,No,poor
52,"P1 Cassava,Barangay Maon",Married,Vaind Seller,College Graduate,Orgon Worker,No,Extended,No,"44,000 - 75,000",Yes,No,No,Yes,LPG,1-2,3-4,Metal Roof & Full Concrete,No,No,No,above average
63,"P2 Camote,Barangay Maon",Widower,Drygoods Retail/ Natasha,Elementary Graduate,Glass Installer,Yes,Extended,Yes,"76,000-131,000",No,Yes,Yes,No,LPG,5,5 - up,Metal Roof & Half Concrete,Yes,Yes,Yes,rich
24,"P2 Camote,Barangay Maon",Married,Vaind Seller,Elementary Graduate,Company Driver,No,Normal,No,"44,000 - 75,000",Yes,Yes,Yes,Yes,LPG,1-2,1-2,Metal Roof & Half Concrete,No,Yes,No,above average
58,"P5 Ube,Barangay Maon",Widower,Sari-sari Store/Peso Net,High School Graduate,Glass Installer,No,Extended,No,"50,000 - UP",Yes,Yes,Yes,Yes,FIREWOOD,6,3-4,Nipa & Wood,No,Yes,No,rich
27,"P1 Cassava,Barangay Maon",Single,Vaind Seller,Elementary Graduate,Sideline,No,Normal,No,"50,000 - UP",Yes,No,No,Yes,FIREWOOD,1-2,3-4,Nipa & Wood,No,No,Yes,rich
55,"P1 Cassava,Barangay Maon",Widower,Sari-sari Store/Peso Net,College Graduate,Engineer,Yes,Extended,Yes,"10,000 - 22,000",Yes,No,No,No,LPG,5,3-4,Metal Roof & Full Concrete,No,No,No,poor
64,"P5 Ube,Barangay Maon",Single,None,College Graduate,Glass Installer,No,Normal,Yes,"23,000 - 43,000",No,Yes,No,No,FIREWOOD,6,1-2,Metal Roof & Hardiflex,No,No,No,average
31,"P5 Ube,Barangay Maon",Married,Drygoods Retail/ Natasha,Elementary Graduate,Part time Technician,Yes,Normal,No,"50,000 - UP",Yes,No,Yes,No,LPG,1-2,1-2,Metal Roof & Amakan,No,No,Yes,rich
42,"P1 Cassava,Barangay Maon",Single,Drygoods Retail/ Natasha,Elementary Graduate,Part time Technician,Yes,Normal,Yes,"10,000 - 22,000",No,Yes,Yes,Yes,LPG,6,1-2,Metal Roof & Half Concrete,Yes,Yes,No,poor
69,"P2 Camote,Barangay Maon",Married,Drygoods Retail/ Natasha,College Graduate,Orgon Worker,No,Extended,No,"10,000 and below",No,Yes,No,Yes,FIREWOOD,1-2,3-4,Metal Roof & Half Concrete,No,Yes,No,very poor
33,"P3 Kammungay,Barangay Maon",Widower,Sari-sari Store/Peso Net,College Graduate,None,No,Extended,Yes,"10,000 - 22,000",No,Yes,No,No,LPG,6,1-2,Metal Roof & Half Concrete,No,Yes,Yes,poor
46,"P5 Ube,Barangay Maon",Single,Sari-sari Store/Peso Net,Elementary Graduate,Coordinator,Yes,Extended,No,"44,000 - 75,000",Yes,Yes,Yes,No,FIREWOOD,6,3-4,Metal Roof & Full Concrete,No,Yes,Yes,above average
58,"P3 Kammungay,Barangay Maon",Single,Sari-sari Store/Peso Net,High School Graduate,Engineer,No,Normal,No,"23,000 - 43,000",Yes,No,No,Yes,FIREWOOD,1-2,5 - up,Metal Roof & Hardiflex,Yes,Yes,No,average
24,"P3 Kammungay,Barangay Maon",Single,None,College Graduate,Part time Technician,Yes,Extended,Yes,"44,000 - 75,000",No,No,Yes,Yes,LPG,3,3-4,Nipa & Wood,Yes,Yes,Yes,above average
46,"P3 Kammungay,Barangay Maon",Married,Sari-sari Store/Peso Net,High School Graduate,Senior Citizen,No,Normal,Yes,"76,000-131,000",No,Yes,Yes,No,FIREWOOD,3,1-2,Metal Roof & Full Concrete,No,No,Yes,rich
39,"P2 Camote,Barangay Maon",Married,Drygoods Retail/ Natasha,College Graduate,Coordinator,Yes,Extended,No,"44,000 - 75,000",Yes,Yes,No,No,LPG,5,1-2,Metal Roof & Half Concrete,No,No,No,above average
47,"P2 Camote,Barangay Maon",Widower,Drygoods Retail/ Natasha,Elementary Graduate,Senior Citizen,No,Normal,Yes,"44,000 - 75,000",Yes,No,No,Yes,LPG,1-2,3-4,Metal Roof & Full Concrete,Yes,Yes,No,above average
53,"P3 Kammungay,Barangay Maon",Widower,None,College Graduate,Barangay Councilor,No,Extended,No,"10,000 - 22,000",Yes,No,Yes,No,LPG,1-2,3-4,Metal Roof & Half Concrete,Yes,Yes,No,poor
36,"P1 Cassava,Barangay Maon",Single,Sari-sari Store/Peso Net,High School Graduate,Part time Technician,Yes,Extended,No,"44,000 - 75,000",Yes,Yes,Yes,Yes,FIREWOOD,3,3-4,Metal Roof & Half Concrete,Yes,No,No,above average
30,"P2 Camote,Barangay Maon",Single,Drygoods Retail/ Natasha,Elementary Graduate,Tatoo Artist,Yes,Normal,Yes,"10,000 and below",No,No,Yes,No,LPG,6,1-2,Metal Roof & Hardiflex,No,No,No,very poor
30,"P1 Cassava,Barangay Maon",Widower,Drygoods Retail/ Natasha,College Graduate,Glass Installer,Yes,Extended,Yes,"50,000 - UP",No,No,Yes,Yes,FIREWOOD,3,1-2,Metal Roof & Amakan,Yes,No,No,rich
47,"P1 Cassava,Barangay Maon",Married,None,Elementary Graduate,Tricycle Driver,No,Normal,Yes,"44,000 - 75,000",No,No,Yes,Yes,LPG,1-2,3-4,Metal Roof & Hardiflex,Yes,Yes,No,above average
